global_sales
1.19
2.38
0.53
0.06
0.21
0.4
0.01
0.15
0.07
0.13
0.04
0.32
0.57
0.06
0.02
0.46
2.95
0.1
0.11
0.04
0.34
7.23
0.09
1.58
0.57
0.82
1.39
0.06
0.36
0.04
0.11
0.03
0.09
2.39
0.02
0.02
0.52
0.01
0.05
1.33
0.05
0.13
0.03
0.04
0.04
0.03
0.06
0.36
0.15
0.49
0.46
1.92
0.25
2.73
0.18
0.01
0.02
0.18
0.4
0.07
0.03
0.15
0.09
2.18
0.12
0.26
0.16
0.04
1.04
0.95
0.71
1.08
0.18
0.12
0.05
3.7
0.09
0.39
0.48
0.39
0.9
0.09
2.23
0.46
0.06
1.29
0.03
0.4
0.05
2.84
0.07
0.09
0.23
0.05
0.04
0.1
0.1
2.0
0.12
0.01
0.02
0.11
0.12
0.13
0.24
0.29
0.04
0.05
0.27
0.26
2.17
1.05
0.26
0.18
0.46
1.6
0.09
0.01
0.1
1.53
0.08
0.02
0.01
0.07
0.25
0.1
0.03
0.05
0.08
2.79
0.02
0.07
0.06
0.19
0.03
0.21
0.11
0.8
0.08
0.1
0.27
0.29
0.13
0.1
0.01
0.2
0.03
0.03
0.85
0.15
0.14
0.01
0.04
0.32
0.16
0.68
1.43
0.41
0.04
0.12
0.7
0.03
0.21
0.61
0.04
0.23
0.1
0.56
0.07
0.06
0.28
0.97
0.33
0.07
0.41
0.56
0.33
1.55
0.06
0.01
0.19
0.65
0.55
0.36
0.19
0.03
0.02
0.09
0.02
0.2
0.02
0.35
0.03
1.69
0.11
0.02
0.13
0.2
0.06
0.15
2.46
0.21
0.2
0.25
0.25
0.02
0.01
0.45
0.23
0.09
0.22
0.21
0.2
0.1
0.1
0.54
0.28
0.03
0.09
0.02
0.41
0.07
0.07
0.06
0.02
5.17
0.01
0.04
0.11
0.21
0.12
0.19
0.23
0.02
1.7
0.03
0.1
0.06
0.22
0.44
0.69
0.02
0.29
0.15
0.07
0.06
0.05
0.02
0.06
0.03
0.65
0.2
0.79
0.13
0.4
1.23
0.8
0.16
0.27
0.37
0.27
0.15
0.18
0.47
2.32
0.3
0.06
0.01
0.4
1.86
0.14
1.55
0.46
0.01
0.07
4.76
2.68
0.15
1.44
0.29
0.83
2.26
0.05
1.34
0.03
0.08
0.02
2.97
0.88
0.35
0.32
0.8
0.45
0.07
0.11
0.11
0.11
0.07
2.62
0.23
0.03
0.11
0.59
0.02
0.7
0.04
0.22
1.19
0.08
0.2
0.79
0.38
0.06
0.02
2.2
0.11
0.24
0.05
0.12
1.59
0.11
0.19
0.04
0.36
3.09
0.56
1.13
0.13
0.04
0.02
0.3
0.42
0.06
0.18
1.82
0.94
0.28
0.55
0.39
0.61
0.88
0.02
1.93
0.24
0.68
0.06
0.32
0.09
1.45
0.07
0.25
0.01
0.16
0.4
0.24
0.03
0.52
0.08
0.05
0.03
0.39
0.1
0.2
0.32
0.04
0.21
0.16
0.32
0.96
0.09
0.2
1.22
0.06
0.06
0.02
1.51
0.08
0.16
0.01
0.01
1.12
0.02
0.11
0.03
0.07
1.41
1.76
0.13
0.1
0.18
0.07
0.14
1.65
0.32
1.73
0.09
0.68
0.1
0.03
1.17
0.59
0.85
0.51
0.17
0.18
0.53
0.66
0.18
0.51
0.03
0.99
0.06
1.81
0.45
0.03
0.67
0.17
0.33
0.41
0.16
0.99
0.34
1.3
0.28
0.75
0.19
0.02
0.16
0.11
1.25
0.03
0.05
1.23
3.79
0.51
0.38
0.08
0.03
0.19
0.2
0.22
0.08
0.03
0.01
0.13
0.3
0.02
0.07
0.05
0.19
4.24
0.13
0.05
0.32
0.48
0.08
0.02
0.13
0.73
0.02
0.03
0.14
0.12
0.12
0.56
6.4
0.13
0.01
0.93
0.6
0.08
0.1
0.54
0.26
0.02
0.98
0.41
0.28
2.38
0.04
0.77
1.72
0.28
1.1
0.14
1.6
0.05
0.2
0.03
0.32
0.01
0.15
0.6
0.19
1.45
2.12
0.24
6.95
0.84
0.01
0.81
0.01
0.02
0.73
0.19
0.1
0.08
0.11
0.45
0.09
0.28
0.03
0.28
0.24
0.3
0.03
0.04
1.78
0.04
1.05
0.09
0.44
0.04
7.58
0.26
0.04
0.78
0.06
0.02
0.71
0.12
4.79
0.04
10.42
0.02
0.13
0.8
0.01
0.27
0.38
0.03
0.83
0.19
0.01
0.03
3.02
0.35
0.05
0.41
0.13
0.28
2.04
0.11
0.01
0.38
0.2
0.23
0.22
0.07
0.14
0.47
3.34
0.06
0.03
0.2
0.87
0.59
0.64
0.1
0.02
0.33
0.19
0.21
0.02
0.12
0.1
0.02
0.02
0.19
0.11
0.13
3.73
1.13
2.05
1.04
0.64
1.18
0.05
2.49
1.47
0.45
0.16
0.48
1.17
0.11
0.35
0.15
0.21
0.06
0.07
0.03
0.04
0.07
0.35
0.46
0.09
0.25
0.04
0.03
0.06
0.19
0.04
0.09
0.3
0.17
0.45
0.02
0.01
0.05
0.13
0.05
0.03
1.01
0.26
0.39
0.18
0.15
0.42
1.25
3.69
0.15
0.28
0.04
0.66
0.75
0.09
0.04
0.02
0.41
0.07
0.03
0.04
0.08
0.04
0.11
0.15
0.16
0.25
0.03
0.76
7.67
0.06
0.12
1.16
0.77
0.4
0.01
0.02
0.01
0.11
0.14
0.89
0.48
0.17
0.48
0.03
0.23
1.58
0.09
1.33
0.01
0.57
0.67
0.23
0.04
0.04
0.24
0.05
0.08
0.08
0.07
0.17
0.16
0.01
0.8
0.28
0.05
1.05
0.08
0.1
0.15
0.21
0.06
1.42
0.13
3.84
0.1
0.06
0.12
1.53
0.07
3.19
2.69
0.67
1.05
0.06
0.15
0.11
1.29
0.27
0.28
0.12
0.03
0.02
0.06
0.03
1.29
0.19
0.17
0.22
0.78
0.39
0.16
2.63
0.24
0.03
0.02
0.06
0.38
0.12
0.04
0.04
0.04
0.21
0.33
1.24
0.6
9.52
0.23
0.34
0.5
0.04
0.07
0.16
0.27
0.09
